"Rk.x","Player","Player_Href.x","Nation.x","Pos.x","Squad.x","Age.x","Born.x","MP_Playing Time","Starts_Playing Time","Min_Playing Time","Mins_Per_90_Playing Time","Gls","Ast","G+A","G_minus_PK","PK","PKatt","CrdY.x","CrdR.x","xG_Expected.x","npxG_Expected.x","xAG_Expected","npxG+xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per 90 Minutes","Ast_Per 90 Minutes","G+A_Per 90 Minutes","G_minus_PK_Per 90 Minutes","G+A_minus_PK_Per 90 Minutes","xG_Per 90 Minutes","xAG_Per 90 Minutes","xG+xAG_Per 90 Minutes","npxG_Per 90 Minutes","npxG+xAG_Per 90 Minutes","Matches.x","url.x","Rk.y","Player_Href.y","Nation.y","Pos.y","Squad.y","Age.y","Born.y","Mins_Per_90.x","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","FK_Standard","PK_Standard","PKatt_Standard","xG_Expected.y","npxG_Expected.y","npxG_per_Sh_Expected","G_minus_xG_Expected","np:G_minus_xG_Expected","Matches.y","url.y","Rk.x.x","Player_Href.x.x","Nation.x.x","Pos.x.x","Squad.x.x","Age.x.x","Born.x.x","Mins_Per_90.y","CrdY.y","CrdR.y","2CrdY","Fls","Fld","Off","Crs","Int.x","TklW","PKwon","PKcon","OG","Recov","Won_Aerial Duels","Lost_Aerial Duels","Won_percent_Aerial Duels","Matches.x.x","url.x.x","Rk.y.y","Player_Href.y.y","Nation.y.y","Pos.y.y","Squad.y.y","Age.y.y","Born.y.y","Mins_Per_90.x.x","SCA_SCA","SCA90_SCA","PassLive_SCA Types","PassDead_SCA Types","TO_SCA Types","Sh_SCA Types","Fld_SCA Types","Def_SCA Types","GCA_GCA","GCA90_GCA","PassLive_GCA Types","PassDead_GCA Types","TO_GCA Types","Sh_GCA Types","Fld_GCA Types","Def_GCA Types","Matches.y.y","url.y.y","Rk","Player_Href","Nation","Pos","Squad","Age","Born","Mins_Per_90.y.y","Tkl_Tackles","TklW_Tackles","Def 3rd_Tackles","Mid 3rd_Tackles","Att 3rd_Tackles","Tkl_Challenges","Att_Challenges","Tkl_percent_Challenges","Lost_Challenges","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Int.y","Tkl+Int","Clr","Err","Matches","url"
190,"Cody Drameh","/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Leeds United",21,2001,1,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0.19,0,0.19,"Matches","https://fbref.com/en/comps/10/2023-2024/stats/2023-2024-Championship-Stats",190,"/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Leeds United",21,2001,0.2,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,"Matches","https://fbref.com/en/comps/10/2023-2024/shooting/2023-2024-Championship-Stats",191,"/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Birmingham City",21,2001,25.1,2,0,0,5,16,3,39,24,55,0,0,0,141,26,29,47.3,"Matches","https://fbref.com/en/comps/10/2023-2024/misc/2023-2024-Championship-Stats",190,"/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Leeds United",21,2001,0.2,1,4.09,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","https://fbref.com/en/comps/10/2023-2024/gca/2023-2024-Championship-Stats",190,"/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Leeds United",21,2001,0.2,1,0,1,0,0,1,1,100,0,1,1,0,1,2,0,1,"Matches","https://fbref.com/en/comps/10/2023-2024/defense/2023-2024-Championship-Stats"
190,"Cody Drameh","/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Leeds United",21,2001,1,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0.19,0,0.19,"Matches","https://fbref.com/en/comps/10/2023-2024/stats/2023-2024-Championship-Stats",190,"/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Leeds United",21,2001,0.2,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,"Matches","https://fbref.com/en/comps/10/2023-2024/shooting/2023-2024-Championship-Stats",191,"/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Birmingham City",21,2001,25.1,2,0,0,5,16,3,39,24,55,0,0,0,141,26,29,47.3,"Matches","https://fbref.com/en/comps/10/2023-2024/misc/2023-2024-Championship-Stats",190,"/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Leeds United",21,2001,0.2,1,4.09,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","https://fbref.com/en/comps/10/2023-2024/gca/2023-2024-Championship-Stats",191,"/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Birmingham City",21,2001,25.1,80,55,50,23,7,45,68,66.2,23,49,8,41,24,104,92,4,"Matches","https://fbref.com/en/comps/10/2023-2024/defense/2023-2024-Championship-Stats"
190,"Cody Drameh","/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Leeds United",21,2001,1,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0.19,0,0.19,"Matches","https://fbref.com/en/comps/10/2023-2024/stats/2023-2024-Championship-Stats",190,"/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Leeds United",21,2001,0.2,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,"Matches","https://fbref.com/en/comps/10/2023-2024/shooting/2023-2024-Championship-Stats",191,"/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Birmingham City",21,2001,25.1,2,0,0,5,16,3,39,24,55,0,0,0,141,26,29,47.3,"Matches","https://fbref.com/en/comps/10/2023-2024/misc/2023-2024-Championship-Stats",191,"/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Birmingham City",21,2001,25.1,46,1.84,40,2,2,1,1,0,4,0.16,4,0,0,0,0,0,"Matches","https://fbref.com/en/comps/10/2023-2024/gca/2023-2024-Championship-Stats",190,"/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Leeds United",21,2001,0.2,1,0,1,0,0,1,1,100,0,1,1,0,1,2,0,1,"Matches","https://fbref.com/en/comps/10/2023-2024/defense/2023-2024-Championship-Stats"
190,"Cody Drameh","/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Leeds United",21,2001,1,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0.19,0,0.19,"Matches","https://fbref.com/en/comps/10/2023-2024/stats/2023-2024-Championship-Stats",190,"/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Leeds United",21,2001,0.2,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,"Matches","https://fbref.com/en/comps/10/2023-2024/shooting/2023-2024-Championship-Stats",191,"/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Birmingham City",21,2001,25.1,2,0,0,5,16,3,39,24,55,0,0,0,141,26,29,47.3,"Matches","https://fbref.com/en/comps/10/2023-2024/misc/2023-2024-Championship-Stats",191,"/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Birmingham City",21,2001,25.1,46,1.84,40,2,2,1,1,0,4,0.16,4,0,0,0,0,0,"Matches","https://fbref.com/en/comps/10/2023-2024/gca/2023-2024-Championship-Stats",191,"/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Birmingham City",21,2001,25.1,80,55,50,23,7,45,68,66.2,23,49,8,41,24,104,92,4,"Matches","https://fbref.com/en/comps/10/2023-2024/defense/2023-2024-Championship-Stats"
190,"Cody Drameh","/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Leeds United",21,2001,1,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0.19,0,0.19,"Matches","https://fbref.com/en/comps/10/2023-2024/stats/2023-2024-Championship-Stats",191,"/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Birmingham City",21,2001,25.1,0,14,2,14.3,0.56,0.08,0,0,22.5,0,0,0,0.4,0.4,0.03,-0.4,-0.4,"Matches","https://fbref.com/en/comps/10/2023-2024/shooting/2023-2024-Championship-Stats",190,"/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Leeds United",21,2001,0.2,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,NA,"Matches","https://fbref.com/en/comps/10/2023-2024/misc/2023-2024-Championship-Stats",190,"/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Leeds United",21,2001,0.2,1,4.09,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","https://fbref.com/en/comps/10/2023-2024/gca/2023-2024-Championship-Stats",190,"/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Leeds United",21,2001,0.2,1,0,1,0,0,1,1,100,0,1,1,0,1,2,0,1,"Matches","https://fbref.com/en/comps/10/2023-2024/defense/2023-2024-Championship-Stats"
190,"Cody Drameh","/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Leeds United",21,2001,1,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0.19,0,0.19,"Matches","https://fbref.com/en/comps/10/2023-2024/stats/2023-2024-Championship-Stats",191,"/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Birmingham City",21,2001,25.1,0,14,2,14.3,0.56,0.08,0,0,22.5,0,0,0,0.4,0.4,0.03,-0.4,-0.4,"Matches","https://fbref.com/en/comps/10/2023-2024/shooting/2023-2024-Championship-Stats",190,"/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Leeds United",21,2001,0.2,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,NA,"Matches","https://fbref.com/en/comps/10/2023-2024/misc/2023-2024-Championship-Stats",190,"/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Leeds United",21,2001,0.2,1,4.09,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","https://fbref.com/en/comps/10/2023-2024/gca/2023-2024-Championship-Stats",191,"/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Birmingham City",21,2001,25.1,80,55,50,23,7,45,68,66.2,23,49,8,41,24,104,92,4,"Matches","https://fbref.com/en/comps/10/2023-2024/defense/2023-2024-Championship-Stats"
190,"Cody Drameh","/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Leeds United",21,2001,1,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0.19,0,0.19,"Matches","https://fbref.com/en/comps/10/2023-2024/stats/2023-2024-Championship-Stats",191,"/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Birmingham City",21,2001,25.1,0,14,2,14.3,0.56,0.08,0,0,22.5,0,0,0,0.4,0.4,0.03,-0.4,-0.4,"Matches","https://fbref.com/en/comps/10/2023-2024/shooting/2023-2024-Championship-Stats",190,"/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Leeds United",21,2001,0.2,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,NA,"Matches","https://fbref.com/en/comps/10/2023-2024/misc/2023-2024-Championship-Stats",191,"/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Birmingham City",21,2001,25.1,46,1.84,40,2,2,1,1,0,4,0.16,4,0,0,0,0,0,"Matches","https://fbref.com/en/comps/10/2023-2024/gca/2023-2024-Championship-Stats",190,"/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Leeds United",21,2001,0.2,1,0,1,0,0,1,1,100,0,1,1,0,1,2,0,1,"Matches","https://fbref.com/en/comps/10/2023-2024/defense/2023-2024-Championship-Stats"
190,"Cody Drameh","/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Leeds United",21,2001,1,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0.19,0,0.19,"Matches","https://fbref.com/en/comps/10/2023-2024/stats/2023-2024-Championship-Stats",191,"/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Birmingham City",21,2001,25.1,0,14,2,14.3,0.56,0.08,0,0,22.5,0,0,0,0.4,0.4,0.03,-0.4,-0.4,"Matches","https://fbref.com/en/comps/10/2023-2024/shooting/2023-2024-Championship-Stats",190,"/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Leeds United",21,2001,0.2,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,NA,"Matches","https://fbref.com/en/comps/10/2023-2024/misc/2023-2024-Championship-Stats",191,"/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Birmingham City",21,2001,25.1,46,1.84,40,2,2,1,1,0,4,0.16,4,0,0,0,0,0,"Matches","https://fbref.com/en/comps/10/2023-2024/gca/2023-2024-Championship-Stats",191,"/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Birmingham City",21,2001,25.1,80,55,50,23,7,45,68,66.2,23,49,8,41,24,104,92,4,"Matches","https://fbref.com/en/comps/10/2023-2024/defense/2023-2024-Championship-Stats"
190,"Cody Drameh","/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Leeds United",21,2001,1,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0.19,0,0.19,"Matches","https://fbref.com/en/comps/10/2023-2024/stats/2023-2024-Championship-Stats",191,"/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Birmingham City",21,2001,25.1,0,14,2,14.3,0.56,0.08,0,0,22.5,0,0,0,0.4,0.4,0.03,-0.4,-0.4,"Matches","https://fbref.com/en/comps/10/2023-2024/shooting/2023-2024-Championship-Stats",191,"/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Birmingham City",21,2001,25.1,2,0,0,5,16,3,39,24,55,0,0,0,141,26,29,47.3,"Matches","https://fbref.com/en/comps/10/2023-2024/misc/2023-2024-Championship-Stats",190,"/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Leeds United",21,2001,0.2,1,4.09,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","https://fbref.com/en/comps/10/2023-2024/gca/2023-2024-Championship-Stats",190,"/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Leeds United",21,2001,0.2,1,0,1,0,0,1,1,100,0,1,1,0,1,2,0,1,"Matches","https://fbref.com/en/comps/10/2023-2024/defense/2023-2024-Championship-Stats"
190,"Cody Drameh","/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Leeds United",21,2001,1,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0.19,0,0.19,"Matches","https://fbref.com/en/comps/10/2023-2024/stats/2023-2024-Championship-Stats",191,"/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Birmingham City",21,2001,25.1,0,14,2,14.3,0.56,0.08,0,0,22.5,0,0,0,0.4,0.4,0.03,-0.4,-0.4,"Matches","https://fbref.com/en/comps/10/2023-2024/shooting/2023-2024-Championship-Stats",191,"/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Birmingham City",21,2001,25.1,2,0,0,5,16,3,39,24,55,0,0,0,141,26,29,47.3,"Matches","https://fbref.com/en/comps/10/2023-2024/misc/2023-2024-Championship-Stats",190,"/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Leeds United",21,2001,0.2,1,4.09,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","https://fbref.com/en/comps/10/2023-2024/gca/2023-2024-Championship-Stats",191,"/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Birmingham City",21,2001,25.1,80,55,50,23,7,45,68,66.2,23,49,8,41,24,104,92,4,"Matches","https://fbref.com/en/comps/10/2023-2024/defense/2023-2024-Championship-Stats"
190,"Cody Drameh","/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Leeds United",21,2001,1,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0.19,0,0.19,"Matches","https://fbref.com/en/comps/10/2023-2024/stats/2023-2024-Championship-Stats",191,"/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Birmingham City",21,2001,25.1,0,14,2,14.3,0.56,0.08,0,0,22.5,0,0,0,0.4,0.4,0.03,-0.4,-0.4,"Matches","https://fbref.com/en/comps/10/2023-2024/shooting/2023-2024-Championship-Stats",191,"/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Birmingham City",21,2001,25.1,2,0,0,5,16,3,39,24,55,0,0,0,141,26,29,47.3,"Matches","https://fbref.com/en/comps/10/2023-2024/misc/2023-2024-Championship-Stats",191,"/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Birmingham City",21,2001,25.1,46,1.84,40,2,2,1,1,0,4,0.16,4,0,0,0,0,0,"Matches","https://fbref.com/en/comps/10/2023-2024/gca/2023-2024-Championship-Stats",190,"/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Leeds United",21,2001,0.2,1,0,1,0,0,1,1,100,0,1,1,0,1,2,0,1,"Matches","https://fbref.com/en/comps/10/2023-2024/defense/2023-2024-Championship-Stats"
190,"Cody Drameh","/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Leeds United",21,2001,1,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0.19,0,0.19,"Matches","https://fbref.com/en/comps/10/2023-2024/stats/2023-2024-Championship-Stats",191,"/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Birmingham City",21,2001,25.1,0,14,2,14.3,0.56,0.08,0,0,22.5,0,0,0,0.4,0.4,0.03,-0.4,-0.4,"Matches","https://fbref.com/en/comps/10/2023-2024/shooting/2023-2024-Championship-Stats",191,"/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Birmingham City",21,2001,25.1,2,0,0,5,16,3,39,24,55,0,0,0,141,26,29,47.3,"Matches","https://fbref.com/en/comps/10/2023-2024/misc/2023-2024-Championship-Stats",191,"/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Birmingham City",21,2001,25.1,46,1.84,40,2,2,1,1,0,4,0.16,4,0,0,0,0,0,"Matches","https://fbref.com/en/comps/10/2023-2024/gca/2023-2024-Championship-Stats",191,"/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Birmingham City",21,2001,25.1,80,55,50,23,7,45,68,66.2,23,49,8,41,24,104,92,4,"Matches","https://fbref.com/en/comps/10/2023-2024/defense/2023-2024-Championship-Stats"
191,"Cody Drameh","/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Birmingham City",21,2001,28,23,2255,25.1,0,3,3,0,0,0,2,0,0.4,0.4,2.1,2.5,47,61,83,0,0.12,0.12,0,0.12,0.02,0.08,0.1,0.02,0.1,"Matches","https://fbref.com/en/comps/10/2023-2024/stats/2023-2024-Championship-Stats",190,"/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Leeds United",21,2001,0.2,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,"Matches","https://fbref.com/en/comps/10/2023-2024/shooting/2023-2024-Championship-Stats",190,"/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Leeds United",21,2001,0.2,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,NA,"Matches","https://fbref.com/en/comps/10/2023-2024/misc/2023-2024-Championship-Stats",190,"/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Leeds United",21,2001,0.2,1,4.09,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","https://fbref.com/en/comps/10/2023-2024/gca/2023-2024-Championship-Stats",190,"/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Leeds United",21,2001,0.2,1,0,1,0,0,1,1,100,0,1,1,0,1,2,0,1,"Matches","https://fbref.com/en/comps/10/2023-2024/defense/2023-2024-Championship-Stats"
191,"Cody Drameh","/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Birmingham City",21,2001,28,23,2255,25.1,0,3,3,0,0,0,2,0,0.4,0.4,2.1,2.5,47,61,83,0,0.12,0.12,0,0.12,0.02,0.08,0.1,0.02,0.1,"Matches","https://fbref.com/en/comps/10/2023-2024/stats/2023-2024-Championship-Stats",190,"/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Leeds United",21,2001,0.2,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,"Matches","https://fbref.com/en/comps/10/2023-2024/shooting/2023-2024-Championship-Stats",190,"/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Leeds United",21,2001,0.2,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,NA,"Matches","https://fbref.com/en/comps/10/2023-2024/misc/2023-2024-Championship-Stats",190,"/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Leeds United",21,2001,0.2,1,4.09,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","https://fbref.com/en/comps/10/2023-2024/gca/2023-2024-Championship-Stats",191,"/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Birmingham City",21,2001,25.1,80,55,50,23,7,45,68,66.2,23,49,8,41,24,104,92,4,"Matches","https://fbref.com/en/comps/10/2023-2024/defense/2023-2024-Championship-Stats"
191,"Cody Drameh","/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Birmingham City",21,2001,28,23,2255,25.1,0,3,3,0,0,0,2,0,0.4,0.4,2.1,2.5,47,61,83,0,0.12,0.12,0,0.12,0.02,0.08,0.1,0.02,0.1,"Matches","https://fbref.com/en/comps/10/2023-2024/stats/2023-2024-Championship-Stats",190,"/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Leeds United",21,2001,0.2,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,"Matches","https://fbref.com/en/comps/10/2023-2024/shooting/2023-2024-Championship-Stats",190,"/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Leeds United",21,2001,0.2,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,NA,"Matches","https://fbref.com/en/comps/10/2023-2024/misc/2023-2024-Championship-Stats",191,"/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Birmingham City",21,2001,25.1,46,1.84,40,2,2,1,1,0,4,0.16,4,0,0,0,0,0,"Matches","https://fbref.com/en/comps/10/2023-2024/gca/2023-2024-Championship-Stats",190,"/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Leeds United",21,2001,0.2,1,0,1,0,0,1,1,100,0,1,1,0,1,2,0,1,"Matches","https://fbref.com/en/comps/10/2023-2024/defense/2023-2024-Championship-Stats"
191,"Cody Drameh","/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Birmingham City",21,2001,28,23,2255,25.1,0,3,3,0,0,0,2,0,0.4,0.4,2.1,2.5,47,61,83,0,0.12,0.12,0,0.12,0.02,0.08,0.1,0.02,0.1,"Matches","https://fbref.com/en/comps/10/2023-2024/stats/2023-2024-Championship-Stats",190,"/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Leeds United",21,2001,0.2,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,"Matches","https://fbref.com/en/comps/10/2023-2024/shooting/2023-2024-Championship-Stats",190,"/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Leeds United",21,2001,0.2,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,NA,"Matches","https://fbref.com/en/comps/10/2023-2024/misc/2023-2024-Championship-Stats",191,"/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Birmingham City",21,2001,25.1,46,1.84,40,2,2,1,1,0,4,0.16,4,0,0,0,0,0,"Matches","https://fbref.com/en/comps/10/2023-2024/gca/2023-2024-Championship-Stats",191,"/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Birmingham City",21,2001,25.1,80,55,50,23,7,45,68,66.2,23,49,8,41,24,104,92,4,"Matches","https://fbref.com/en/comps/10/2023-2024/defense/2023-2024-Championship-Stats"
191,"Cody Drameh","/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Birmingham City",21,2001,28,23,2255,25.1,0,3,3,0,0,0,2,0,0.4,0.4,2.1,2.5,47,61,83,0,0.12,0.12,0,0.12,0.02,0.08,0.1,0.02,0.1,"Matches","https://fbref.com/en/comps/10/2023-2024/stats/2023-2024-Championship-Stats",190,"/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Leeds United",21,2001,0.2,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,"Matches","https://fbref.com/en/comps/10/2023-2024/shooting/2023-2024-Championship-Stats",191,"/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Birmingham City",21,2001,25.1,2,0,0,5,16,3,39,24,55,0,0,0,141,26,29,47.3,"Matches","https://fbref.com/en/comps/10/2023-2024/misc/2023-2024-Championship-Stats",190,"/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Leeds United",21,2001,0.2,1,4.09,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","https://fbref.com/en/comps/10/2023-2024/gca/2023-2024-Championship-Stats",190,"/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Leeds United",21,2001,0.2,1,0,1,0,0,1,1,100,0,1,1,0,1,2,0,1,"Matches","https://fbref.com/en/comps/10/2023-2024/defense/2023-2024-Championship-Stats"
191,"Cody Drameh","/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Birmingham City",21,2001,28,23,2255,25.1,0,3,3,0,0,0,2,0,0.4,0.4,2.1,2.5,47,61,83,0,0.12,0.12,0,0.12,0.02,0.08,0.1,0.02,0.1,"Matches","https://fbref.com/en/comps/10/2023-2024/stats/2023-2024-Championship-Stats",190,"/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Leeds United",21,2001,0.2,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,"Matches","https://fbref.com/en/comps/10/2023-2024/shooting/2023-2024-Championship-Stats",191,"/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Birmingham City",21,2001,25.1,2,0,0,5,16,3,39,24,55,0,0,0,141,26,29,47.3,"Matches","https://fbref.com/en/comps/10/2023-2024/misc/2023-2024-Championship-Stats",190,"/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Leeds United",21,2001,0.2,1,4.09,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","https://fbref.com/en/comps/10/2023-2024/gca/2023-2024-Championship-Stats",191,"/en/players/e0d1510a/Cody-Drameh","eng ENG","DF","Birmingham City",21,2001,25.1,80,55,50,23,7,45,68,66.2,23,49,8,41,24,104,92,4,"Matches","https://fbref.com/en/comps/10/2023-2024/defense/2023-2024-Championship-Stats"
